Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Total Cmp_for,Total Att_for,Total Cmp%_for,Total TotDist_for,Total PrgDist_for,Short Cmp_for,Short Att_for,Short Cmp%_for,Medium Cmp_for,Medium Att_for,Medium Cmp%_for,Long Cmp_for,Long Att_for,Long Cmp%_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Expected A-xAG_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Total Cmp_against,Total Att_against,Total Cmp%_against,Total TotDist_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Short Cmp%_against,Medium Cmp_against,Medium Att_against,Medium Cmp%_against,Long Cmp_against,Long Att_against,Long Cmp%_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Expected A-xAG_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against,Season
Alavés,29,38.0,10534,14746,71.4,199550,84871,4546,5494,82.7,4441,5542,80.1,1312,2838,46.2,20,25.4,25.9,-5.4,284,963,229,99,1160,29,38.0,14251,18138,78.6,260653,94982,6140,6970,88.1,6230,7338,84.9,1563,2925,53.4,28,33.3,32.3,-5.3,306,1034,245,97,1323,2024-2025
Athletic Club,31,38.0,13665,17375,78.6,253362,90647,5552,6396,86.8,6520,7522,86.7,1395,2733,51.0,40,36.7,33.1,3.3,351,1283,274,90,1579,31,38.0,14953,18891,79.2,269493,95206,6402,7284,87.9,6730,7799,86.3,1481,2854,51.9,11,22.9,21.5,-11.9,242,911,205,69,1177,2024-2025
Atlético Madrid,24,38.0,17826,21418,83.2,295213,100382,8814,9752,90.4,6993,7984,87.6,1486,2519,59.0,51,47.9,45.3,3.1,348,1233,365,96,1559,24,38.0,16246,19538,83.2,291315,95937,7097,7859,90.3,7307,8119,90.0,1542,2749,56.1,17,23.9,29.8,-6.9,286,1462,282,84,1543,2024-2025
Barcelona,28,38.0,22321,25721,86.8,371914,116385,10452,11341,92.2,9674,10643,90.9,1577,2424,65.1,72,67.5,64.7,4.5,500,2020,479,77,2212,28,38.0,8511,11890,71.6,161116,69199,3752,4435,84.6,3313,4086,81.1,1208,2491,48.5,31,32.6,21.8,-1.6,222,595,166,59,780,2024-2025
Betis,36,38.0,15770,19284,81.8,264738,91436,7583,8423,90.0,6318,7291,86.7,1341,2443,54.9,37,37.5,34.8,-0.5,417,1127,329,75,1486,36,38.0,13910,17627,78.9,246914,92271,6224,7089,87.8,6031,7022,85.9,1341,2578,52.0,32,38.4,32.4,-6.4,309,1110,251,69,1411,2024-2025
Celta Vigo,30,38.0,17798,21253,83.7,312877,104182,7549,8367,90.2,8368,9325,89.7,1480,2521,58.7,40,38.4,36.9,1.6,339,1424,300,53,1659,30,38.0,14946,18445,81.0,266539,89590,6617,7382,89.6,6584,7411,88.8,1433,2809,51.0,45,33.3,31.9,11.7,308,1103,243,85,1222,2024-2025
Espanyol,27,38.0,10580,13996,75.6,199624,80026,4245,4942,85.9,4814,5678,84.8,1297,2629,49.3,27,24.5,23.4,2.5,256,772,204,81,1000,27,38.0,17987,21580,83.4,311271,106771,8341,9165,91.0,7778,8804,88.3,1534,2689,57.0,39,39.6,41.3,-0.6,431,1501,381,103,1821,2024-2025
Getafe,30,38.0,8695,12922,67.3,169125,74933,3711,4579,81.0,3515,4628,76.0,1250,2951,42.4,21,23.9,23.8,-2.9,296,958,226,104,981,30,38.0,13966,18284,76.4,250679,92537,6043,6962,86.8,6205,7399,83.9,1371,2889,47.5,21,31.3,28.0,-10.3,259,997,227,66,1284,2024-2025
Girona,30,38.0,18273,21401,85.4,322614,100730,8002,8697,92.0,8458,9319,90.8,1526,2565,59.5,31,31.6,37.4,-0.6,308,1494,302,87,1691,30,38.0,13798,16818,82.0,243267,83228,6108,6712,91.0,6052,6873,88.1,1281,2411,53.1,46,36.5,33.6,9.5,348,1070,254,74,1183,2024-2025
Las Palmas,34,38.0,14352,18209,78.8,254010,92291,6396,7255,88.2,6214,7269,85.5,1395,2776,50.3,27,26.3,26.5,0.7,304,1059,246,79,1210,34,38.0,14104,17854,79.0,247245,90659,6398,7238,88.4,6069,7135,85.1,1278,2493,51.3,43,47.5,42.7,-4.5,387,1190,306,96,1470,2024-2025
Leganés,26,38.0,11207,14840,75.5,201808,76373,5038,5734,87.9,4716,5600,84.2,1169,2735,42.7,27,23.3,21.8,3.7,241,796,187,45,1030,26,38.0,16312,20203,80.7,281718,102752,7566,8514,88.9,6971,8047,86.6,1403,2710,51.8,34,40.9,42.8,-6.9,426,1363,325,109,1675,2024-2025
Mallorca,28,38.0,12613,16224,77.7,232365,90368,5538,6293,88.0,5349,6310,84.8,1466,2803,52.3,24,26.5,28.3,-2.5,282,973,239,112,1184,28,38.0,14980,18666,80.3,263472,92330,6786,7634,88.9,6376,7462,85.4,1438,2695,53.4,31,36.0,38.6,-5.0,423,1233,330,94,1587,2024-2025
Osasuna,25,38.0,12184,16028,76.0,230479,92624,5022,5858,85.7,5403,6487,83.3,1489,2835,52.5,28,29.8,33.4,-1.8,300,963,265,127,1221,25,38.0,15229,18864,80.7,268789,97445,6895,7684,89.7,6578,7586,86.7,1433,2702,53.0,38,40.6,43.2,-2.6,349,1251,349,83,1546,2024-2025
Rayo Vallecano,26,38.0,13936,17861,78.0,247359,94801,6459,7310,88.4,5793,6748,85.8,1401,2920,48.0,27,36.2,32.2,-9.2,374,1081,242,85,1362,26,38.0,12793,16724,76.5,231656,91987,5660,6481,87.3,5397,6418,84.1,1412,2884,49.0,33,33.0,33.7,0.0,346,1064,274,81,1326,2024-2025
Real Madrid,30,38.0,21356,24221,88.2,356264,110503,10517,11248,93.5,8566,9311,92.0,1723,2595,66.4,55,54.6,52.2,0.4,501,1773,359,34,1967,30,38.0,12981,15895,81.7,221381,81881,6427,7066,91.0,4989,5720,87.2,1218,2278,53.5,27,32.0,27.3,-5.0,309,1034,223,56,1168,2024-2025
Real Sociedad,31,38.0,14880,18759,79.3,261975,89905,6750,7619,88.6,6360,7434,85.6,1421,2687,52.9,22,30.9,30.7,-8.9,284,1087,242,64,1341,31,38.0,12635,16415,77.0,229468,84576,5620,6418,87.6,5326,6305,84.5,1400,2797,50.1,32,29.0,31.9,3.0,321,1061,236,68,1141,2024-2025
Sevilla,35,38.0,14432,18057,79.9,252909,88471,6743,7466,90.3,6146,7086,86.7,1267,2706,46.8,32,30.8,24.4,1.2,357,1072,210,60,1193,35,38.0,14301,17994,79.5,254797,88615,6318,7161,88.2,6361,7373,86.3,1337,2634,50.8,37,34.0,31.7,3.0,309,1122,235,72,1262,2024-2025
Valencia,32,38.0,13938,17708,78.7,246799,86682,6341,7094,89.4,6081,7066,86.1,1284,2634,48.7,26,30.0,33.4,-4.0,283,1109,254,91,1340,32,38.0,15307,18992,80.6,273196,96683,6744,7559,89.2,6698,7661,87.4,1513,2779,54.4,38,37.2,37.8,0.8,321,1184,291,92,1419,2024-2025
Valladolid,38,38.0,12052,15387,78.3,228419,83632,4795,5456,87.9,5607,6494,86.3,1410,2699,52.2,15,25.7,24.3,-10.7,256,752,176,93,991,38,38.0,17117,20501,83.5,295213,99282,7740,8497,91.1,7685,8589,89.5,1328,2457,54.0,62,46.8,44.4,15.2,449,1475,381,103,1753,2024-2025
Villarreal,31,38.0,14532,17825,81.5,262800,96388,6234,6978,89.3,6564,7485,87.7,1463,2559,57.2,51,49.7,48.0,1.3,427,1146,371,102,1522,31,38.0,16617,19916,83.4,296022,99699,7409,8192,90.4,7220,8075,89.4,1638,2748,59.6,28,28.5,33.8,-0.5,357,1325,295,94,1597,2024-2025
Alavés,30,38.0,10091,14116,71.5,191648,83394,4443,5283,84.1,4011,5052,79.4,1375,2889,47.6,28,32.4,30.6,-4.4,341,937,273,105,1260,30,38.0,16352,20256,80.7,284862,101637,7545,8460,89.2,6916,7981,86.7,1491,2870,52.0,29,29.8,34.6,-0.8,346,1223,282,76,1502,2023-2024
Almería,35,38.0,12774,16540,77.2,228494,85956,5654,6480,87.3,5476,6405,85.5,1322,2747,48.1,25,34.2,24.6,-9.2,349,870,212,86,1097,35,38.0,15460,19368,79.8,269733,101064,7325,8212,89.2,6187,7240,85.5,1518,2848,53.3,56,45.3,45.1,10.7,467,1293,355,102,1644,2023-2024
Athletic Club,27,38.0,14509,18724,77.5,256772,96209,6598,7600,86.8,6186,7288,84.9,1393,2832,49.2,41,37.0,40.3,4.0,355,1205,343,113,1610,27,38.0,14887,19081,78.0,268488,97964,6516,7486,87.0,6412,7514,85.3,1562,3003,52.0,27,32.0,29.0,-5.0,301,999,254,78,1298,2023-2024
Atlético Madrid,27,38.0,17064,20709,82.4,282535,101502,8654,9535,90.8,6433,7422,86.7,1442,2542,56.7,48,47.4,44.0,0.6,359,1226,380,68,1597,27,38.0,16440,19995,82.2,290195,98965,7460,8271,90.2,7083,7986,88.7,1555,2770,56.1,33,29.7,32.7,3.3,342,1392,303,79,1544,2023-2024
Barcelona,29,38.0,21506,24761,86.9,359810,114447,10598,11481,92.3,8724,9617,90.7,1717,2604,65.9,55,57.4,57.9,-2.4,457,1702,405,83,1925,29,38.0,10455,13768,75.9,186415,77373,4978,5702,87.3,3966,4699,84.4,1202,2489,48.3,35,30.9,30.0,4.1,316,806,254,79,992,2023-2024
Betis,35,38.0,15310,18979,80.7,256941,94528,7398,8260,89.6,5944,6913,86.0,1383,2561,54.0,31,32.7,33.8,-1.7,368,1037,327,53,1441,35,38.0,15171,18933,80.1,260627,96763,7430,8311,89.4,6063,6998,86.6,1368,2619,52.2,23,32.6,32.7,-9.6,314,1142,277,88,1457,2023-2024
